LocationID,Zone,LatLong
115,Grymes Hill/Clifton,"(40.6187151, -74.09347509999999)"
116,Hamilton Heights,"(40.8252793, -73.94761390000001)"
117,Hammels/Arverne,"(40.5899232, -73.8065156)"
118,Heartland Village/Todt Hill,"(40.5908869, -74.1585424)"
119,Highbridge,"(40.836916, -73.9271294)"
120,Highbridge Park,"(40.8537599, -73.9257492)"
121,Hillcrest/Pomonok,"(40.732341, -73.81077239999999)"
122,Hollis,"(40.7112203, -73.762495)"
123,Homecrest,"(40.6004787, -73.9565551)"
124,Howard Beach,"(40.6571222, -73.8429989)"
125,Hudson Sq,"(40.7266108, -74.0074328)"
126,Hunts Point,"(40.8094385, -73.8803315)"
127,Inwood,"(40.8677145, -73.9212019)"
128,Inwood Hill Park,"(40.8721829, -73.924776)"
129,Jackson Heights,"(40.7556818, -73.8830701)"
130,Jamaica,"(40.7037439, -73.7991953)"
131,Jamaica Estates,"(40.7179512, -73.783822)"
132,JFK Airport,"(40.6446245, -73.7797035)"
133,Kensington,"(40.63852019999999, -73.97318729999999)"
134,Kew Gardens,"(40.705695, -73.8272029)"
135,Kew Gardens Hills,"(40.724707, -73.8207618)"
136,Kingsbridge Heights,"(40.8711235, -73.8976328)"
137,Kips Bay,"(40.74232920000001, -73.9800645)"
138,LaGuardia Airport,"(40.7769271, -73.8739659)"
139,Laurelton,"(40.67764, -73.7447853)"
140,Lenox Hill East,"(40.7662315, -73.9602312)"
141,Lenox Hill West,"(40.7662315, -73.9602312)"
142,Lincoln Square East,"(40.7726329, -73.982308)"
143,Lincoln Square West,"(40.7741769, -73.98491179999999)"
144,Little Italy/NoLiTa,"(40.7191413, -73.9973273)"
145,Long Island City/Hunters Point,"(40.741525, -73.9570664)"
146,Long Island City/Queens Plaza,"(40.7510545, -73.940428)"
147,Longwood,"(40.8248438, -73.8915875)"
148,Lower East Side,"(40.715033, -73.9842724)"
149,Madison,"(42.8989582, -75.5121217)"
150,Manhattan Beach,"(40.57815799999999, -73.93892129999999)"
151,Manhattan Valley,"(40.7966989, -73.9684247)"
152,Manhattanville,"(40.8169443, -73.9558333)"
153,Marble Hill,"(40.8761173, -73.9102628)"
154,Marine Park/Floyd Bennett Field,"(40.5910174, -73.89060909999999)"
