"STATION","DATE","ACMH","ACSH","ADPT","ASLP","ASTP","AWBT","AWND","DAEV","DASF","DAWM","EVAP","FMTM","MDEV","MDSF","MDWM","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","2022-01-01",,,"51","29.76","29.61","52","3.13",,,,,,,,,,"0.79",,"   94","   86","   97","0.0","0.0",,"56","50",,,,"   60","   60",,,,,,"10.1","15.0",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-02",,,"45","29.69","29.51","47","5.82",,,,,,,,,,"0.04",,"   83","   65","   97","0.0","0.0",,"59","37",,,,"  300","  300",,,,,,"18.1","30.0",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-03",,,"12","30.11","29.96","24","9.84",,,,,,,,,,"0.00",,"   50","   34","   64","0.0","0.0",,"37","22",,,,"  350","  360",,,,,,"18.1","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-04",,,"10","30.35","30.21","22","6.04",,,,,,,,,,"0.00",,"   49","   40","   62","0.0","0.0",,"34","19",,,,"  300","  290",,,,,,"14.1","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-05",,,"33","29.92","29.79","37","5.59",,,,,,,,,,"0.23",,"   80","   47","   96","0.0","0.0",,"47","31",,,,"  220","  240",,,,,,"15.0","23.0",,,"    1",,,,,"    1",,,,,,,,,,,,,
"USW00094728","2022-01-06",,,"19","29.87","29.72","31","6.49",,,,,,,,,,"0.00",,"   49","   36","   79","0.0","0.0",,"41","34",,,,"  280","  270",,,,,,"17.0","27.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-07",,,"19","29.90","29.70","26","8.72",,,,,,,,,,"0.38",,"   67","   45","   96","5.8","5.9",,"34","25",,,,"   30","  270",,,,,,"18.1","29.1",,,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00094728","2022-01-08",,,"7","30.51","30.35","21","6.04",,,,,,,,,,"0.00",,"   44","   33","   57","0.0","3.1",,"30","20",,,,"  310","  330",,,,,,"16.1","30.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-09",,,"27","30.18","30.00","33","8.50",,,,,,,,,,"0.10",,"   72","   43","   89","0.0","3.1",,"40","29",,,,"  240","  220",,,,,,"16.1","23.9",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-10",,,"11","30.10","29.95","24","8.50",,,,,,,,,,"0.00",,"   45","   34","   73","0.0","0.0",,"40","24",,,,"  300","  300",,,,,,"23.0","36.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-11",,,"-1","30.46","30.26","14","7.38",,,,,,,,,,"0.00",,"   39","   32","   60","0.0","0.0",,"24","15",,,,"  300","  300",,,,,,"18.1","29.1",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-12",,,"14","30.18","30.03","26","6.04",,,,,,,,,,"0.00",,"   48","   43","   54","0.0","0.0",,"40","20",,,,"  210","  200",,,,,,"17.0","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-13",,,"27","29.96","29.83","35","3.13",,,,,,,,,,"0.00",,"   60","   41","   73","0.0","0.0",,"48","34",,,,"   60","   70",,,,,,"8.1","12.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-14",,,"26","29.82","29.67","33","8.28",,,,,,,,,,"0.00",,"   66","   57","   83","0.0","0.0",,"43","21",,,,"   10","   40",,,,,,"21.9","32.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-15",,,"-2","30.26","30.10","12","7.16",,,,,,,,,,"0.00",,"   43","   29","   62","0.0","0.0",,"21","10",,,,"   10","   20",,,,,,"14.1","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-16",,,"12","30.22","30.02","19","8.50",,,,,,,,,,"0.37",,"   68","   46","   93","0.8","0.0",,"37","10",,,,"   60","   40",,,,,,"17.0","27.1",,,"    1",,,,,,,,,,,,,,,,,,
"USW00094728","2022-01-17",,,"31","29.22","29.09","35","10.07",,,,,,,,,,"1.16",,"   76","   54","   97","0.0","0.0",,"44","34",,,,"   50","   60",,,,,,"23.9","36.0",,,"    1",,,,,,,,,,,,,,,,,,
